MISSION CANYON ON WILLIAMS WAY

p_39494.0	7.465	0.075	0.000	0.000	33.043	0.335	100.000	1.000	123.000	0.354	16.850	0.378	3.262	0.057	0.372
p_581.0	10.335	0.103	0.000	0.000	33.078	0.335	99.704	0.997	84.000	0.242	9.710	0.217	3.262	0.057	0.371
p_32954.0	3.789	0.038	0.043	0.044	32.885	0.334	99.691	0.997	108.000	0.311	5.690	0.127	3.007	0.053	0.370
p_223.0	9.348	0.093	0.000	0.000	32.776	0.332	99.997	1.000	101.000	0.291	10.070	0.225	3.262	0.057	0.369
p_33575.0	4.966	0.050	0.000	0.000	32.527	0.330	99.774	0.998	122.000	0.352	8.400	0.188	3.007	0.053	0.367
p_32489.0	4.015	0.040	0.000	0.000	32.568	0.330	99.703	0.997	111.000	0.320	6.030	0.135	3.007	0.053	0.367
p_35113.0	4.460	0.045	0.000	0.000	32.506	0.330	99.722	0.997	120.500	0.347	7.020	0.157	3.007	0.053	0.367
p_35760.0	7.875	0.079	0.082	0.081	32.355	0.328	100.000	1.000	120.000	0.346	15.960	0.358	3.262	0.057	0.366
p_32514.0



PAINTED CAVE AREA
p_58872	39.730	0.197	0.918	0.918	23.461	0.238	89.663	0.897	0.000	0.000	23.540	0.528	6.051	0.894	0.885
p_58870	21.734	0.323	0.659	0.659	27.938	0.283	87.404	0.874	8.000	0.023	20.230	0.453	8.159	0.857	0.862
p_57989.0	20.528	0.205	0.612	0.611	29.799	0.302	87.078	0.871	4.000	0.012	20.750	0.465	8.370	0.147	0.854
p_57933	18.654	0.355	0.463	0.464	31.377	0.318	82.960	0.830	2.000	0.006	11.720	0.262	8.371	0.853	0.817
p_57988.0	18.011	0.180	0.404	0.403	29.246	0.297	82.982	0.830	11.000	0.032	23.450	0.526	3.512	0.062	0.814
p_57872	19.886	0.341	0.153	0.152	26.656	0.270	80.385	0.804	21.000	0.061	15.780	0.354	8.401	0.853	0.792
