dataset,approach,alpha,avg_rank,min_rank,max_rank,top_500,top_500_rate
quantile_all,piecewise,4,436.7453874538745,1,2938,218,80.44280442804428
quantile_all,linear,1,966.1992619926199,46,4235,108,39.85239852398524
quantile_wui,piecewise,3,362.41198501872657,1,2081,214,80.14981273408239
quantile_wui,linear,1,655.8689138576779,12,3416,150,56.17977528089888
raw_minmax_all,piecewise,4,428.309963099631,1,2351,199,73.43173431734317
raw_minmax_all,linear,1,2356.5018450184502,127,5884,74,27.30627306273063
raw_minmax_wui,piecewise,4,375.3445692883895,2,2156,209,78.27715355805243
raw_minmax_wui,linear,1,1606.059925093633,27,3906,83,31.086142322097377
